age,transaction_amount,account_balance,num_transactions_today,is_foreign_transaction,transaction_hour,prev_fraud_flag,merchant_distance_km,merchant_risk_score,is_fraud
58,14894.85,45769.65,37,no,2,no,4540.7,8.5,yes
43,5304.21,37609.29,32,no,3,no,3832.3,4.7,yes
46,6822.5,25463.49,30,no,3,yes,4239.2,6.2,yes
29,6819.33,10858.6,27,yes,13,yes,3917.6,9.8,yes
21,961.79,2347.58,13,no,10,no,2595.7,1.9,no
36,5017.66,7515.81,48,no,13,no,1985.1,9.1,no
70,9693.72,23987.52,34,no,3,no,2816.0,4.2,yes
54,10966.43,41608.91,36,no,11,no,430.2,9.2,no
39,13115.58,39103.91,13,no,7,no,4184.1,3.7,yes
40,12569.86,5829.2,27,no,20,no,2246.8,5.50938715643135,no
63,13089.35,15220.48,45,no,3,no,951.5,3.7,no
32,4677.86,1438.71,48,yes,23,no,1582.3,1.5,no
62,5211.71,47720.8,46,no,12,no,3497.8,1.6,no
55,7468.145,22743.7,5,no,9,no,4776.5,3.8,yes
44,4146.14,9592.25,35,no,1,no,2734.2,7.9,yes
35,7700.11,1542.66,25,no,5,no,205.8,7.7,no
52,13346.84,27886.43,44,no,14,no,3419.2,7.4,no
43,8607.77,35251.93,22,no,11,no,347.0,3.7,no
22,832.13,5289.06,12,no,16,no,3295.4,8.5,yes
62,825.67,34171.48,49,no,4,no,4746.9,1.9,yes
53,11763.4,9558.16,41,no,10,no,477.4,3.1,no
27,10842.24,24792.4,30,no,20,no,3990.3,2.8,yes
42,5953.81,10615.73,12,no,12,no,832.3,8.0,yes
36,4809.68,47548.94,18,no,21,no,645.7,4.1,no
64,8505.7,12935.01,3,no,9,no,2121.8,7.4,no
50,7436.88,32510.55,40,no,18,no,1431.8,8.4,no
74,1498.39,26283.93,12,no,2,no,1414.0,8.3,no
25,5798.14,14909.17,19,no,15,no,2715.2,5.6,no
73,10990.06,20721.58,3,no,5,no,3437.9,9.8,yes
39,7741.84,28814.9,13,no,11,no,3836.6,3.1,no
37,6862.8,44128.47,25,no,5,yes,241.4,5.9,yes
70,8523.09,33039.96,33,no,11,yes,2300.6,5.8,yes
61,10372.24,37377.96,26,yes,1,no,3524.5,5.7,yes
45,4619.26,49775.55,24,no,7,no,3137.7,6.2,yes
20,8881.99,44017.22,45,yes,14,no,2299.5,3.1,yes
24,403.8,42403.6,2,no,2,no,3704.3,5.9,no
32,9051.89,15445.86,42,no,17,no,9.8,2.2,yes
25,11065.18,19359.08,14,yes,13,no,103.2,6.5,yes
24,10701.78,15743.66,47,no,2,no,1613.4,8.4,no
52,505.45,4833.44,31,no,13,no,4277.4,2.8,no
63,7468.145,22462.18,18,no,8,no,1984.7,5.0,no
65,3526.53,29829.87,25,no,3,no,3380.4,5.3,yes
48,7468.145,28655.69,23,no,10,yes,4461.8,1.6,no
61,12421.21,27391.5,45,no,9,no,3735.0,5.6,yes
45,528.79,21313.15,12,no,21,no,1905.1,4.2,no
20,2350.88,26212.66,46,no,8,no,626.6,1.1,yes
41,1107.43,7784.82,41,no,10,yes,151.0,7.8,yes
71,1590.37,23979.8,1,no,1,yes,323.5,5.9,yes
49,86.55,22161.2,19,no,19,no,2608.6,1.7,no
74,11931.67,8925.15,2,no,13,no,68.3,7.0,no
51,10357.39,20909.9,25,no,16,no,4807.7,9.4,yes
19,4511.84,39016.93,48,no,19,no,3481.1,8.3,yes
52,491.0,42443.45,24,no,2,yes,1199.1,5.3,no
65,12355.51,48013.71,3,no,12,no,700.0,4.9,no
56,7286.55,24071.73,16,no,15,no,196.7,7.2,no
71,10921.03,35604.91,47,no,17,no,3393.3,8.2,no
43,8615.24,44395.09,48,no,0,no,4965.4,3.8,yes
70,1071.87,36241.1,24,no,6,no,2135.1,1.9,no
30,25.02,9155.94,37,no,10,no,2492.0,2.7,no
63,12851.45,27241.58,14,yes,2,no,4792.9,5.8,yes
29,589.1,48790.76,2,yes,18,no,2443.4,7.8,no
74,3172.39,7039.15,28,no,22,no,30.7,5.7,no
18,13808.59,9840.88,27,no,10,no,2115.6,6.0,yes
20,3046.43,41313.8,49,no,6,no,1994.9,2.7,no
24,10932.4,40830.43,9,no,9,no,4772.5,7.0,yes
40,10074.39,26929.34,15,no,15,no,278.4,6.8,yes
46,10517.94,37688.93,31,no,18,no,727.0,7.2,no
70,6893.66,20477.63,25,no,13,no,640.4,5.50938715643135,no
22,6182.39,26379.86,39,no,3,no,4944.2,1.3,yes
57,8227.95,38767.51,34,no,7,no,4160.4,2.8,no
33,7475.83,43269.57,7,no,1,no,3130.9,8.5,no
56,12880.9,27466.3,48,no,11,no,296.7,3.8,no
56,10695.33,27662.29,42,no,8,no,2601.9,8.2,no
56,7468.145,36205.61,37,no,15,no,3181.3,3.7,no
61,2600.08,6130.12,1,no,3,no,2500.6287832408643,8.5,no
26,290.61,28459.9,49,no,20,no,1726.8,1.2,no
60,5020.92,36440.67,6,no,11,no,2948.6,3.4,no
46,14035.97,10731.57,3,yes,13,no,4020.3,8.8,yes
22,5988.98,32128.76,23,no,1,no,3256.0,7.1,yes
36,6870.85,21637.16,1,yes,13,no,1542.1,6.3,yes
34,3615.9,9157.07,20,no,6,no,2643.7,3.3,no
45,408.7,13432.84,8,no,13,no,702.0,1.1,no
43,1529.57,47658.48,31,no,4,no,2021.0,1.0,no
57,8695.75,11248.91,36,no,5,no,3147.4,8.6,yes
38,3141.47,27251.83,49,no,8,no,2759.1,3.8,yes
41,11761.87,38652.61,20,no,1,no,4905.0,3.7,yes
41,7468.145,2219.63,21,no,1,no,2500.6287832408643,9.2,yes
54,3113.34,31995.14,12,no,13,no,1119.0,9.2,no
18,6906.28,43706.03,1,no,15,no,233.3,7.0,no
27,12293.55,652.54,2,no,4,yes,67.1,3.7,yes
33,7650.63,25715.98,30,yes,17,no,730.3,1.5,yes
46,5988.33,32444.48,10,no,2,no,4195.9,3.0,no
19,13921.42,39878.47,33,no,23,no,1288.1,6.1,no
37,2287.66,11179.42,25,no,7,no,4034.2,2.4,no
37,14176.35,6994.71,5,yes,7,no,3526.7,8.5,yes
25,5176.21,29800.83,15,yes,11,no,4445.7,4.5,yes
70,3139.95,22199.51,24,no,18,no,2743.0,3.5,no
26,2788.15,46581.49,44,no,6,no,3342.4,3.4,yes
45,6747.56,3028.69,46,no,23,no,691.0,2.7,no
22,8950.04,23297.54,39,no,6,no,2661.5,3.6,no
52,601.42,47993.98,42,no,2,no,1870.8,3.9,no
35,12284.99,12360.32,16,no,15,no,3627.4,9.4,yes
36,1097.07,45802.1,19,no,1,no,581.2,7.6,no
47,11379.64,10679.75,16,no,19,no,3808.8,9.3,yes
50,4831.08,43453.16,47,no,23,no,4747.1,1.2,no
62,4184.99,38354.88,7,no,17,no,1661.7,8.1,no
52,5614.9,13928.34,42,no,9,no,1468.7,8.6,no
43,3243.59,7725.31,49,no,23,no,2010.9,6.1,no
25,8057.53,47998.14,16,yes,11,no,2971.5,8.4,yes
54,7580.67,6004.02,49,yes,12,no,3074.2,8.6,yes
18,6032.84,16014.34,22,yes,9,no,1241.5,5.5,yes
57,3981.1,3354.4,38,no,15,no,4519.6,2.2,yes
67,2981.98,24502.95,48,no,9,no,4248.6,1.2,no
68,2608.49,28906.54,10,no,3,no,2010.1,1.3,no
24,7582.14,30463.43,38,no,7,no,4118.9,5.50938715643135,yes
70,6114.72,38244.06,3,no,22,no,4956.3,4.3,no
48,9281.85,8457.58,44,no,1,yes,1811.9,1.4,no
28,5944.38,25056.065000000002,15,no,15,no,4071.8,1.8,yes
48,14024.49,42654.47,10,no,2,yes,1037.7,9.7,yes
45,11106.72,42410.79,22,no,16,no,4342.3,6.7,yes
47,8977.59,14668.61,38,no,4,no,312.7,3.0,no
51,11227.04,1786.84,4,no,2,no,1982.5,8.7,no
46,5530.71,40054.18,11,yes,20,no,2652.1,7.8,no
35,14036.59,1250.32,6,yes,4,no,2189.8,4.2,yes
65,270.41,36097.67,7,no,13,no,4131.3,5.4,no
51,7679.07,11876.43,33,no,12,no,92.4,6.5,no
62,1894.75,36105.01,4,no,4,no,1835.8,3.9,no
45,11967.28,30155.06,22,no,3,no,2500.6287832408643,6.2,no
35,3205.45,10165.81,17,no,10,no,1347.2,8.2,no
22,10300.16,35615.57,31,no,16,no,1230.7,9.4,no
32,2460.68,25056.065000000002,46,no,13,no,3200.3,5.3,no
42,6539.72,43223.46,7,no,3,no,2642.9,3.4,no
21,3304.38,11962.37,12,no,20,no,3573.2,6.8,no
48,13416.4,18426.37,46,no,7,no,912.1,1.5,no
29,3895.42,37105.66,29,no,16,no,4057.6,7.4,yes
53,9231.19,23891.5,38,no,10,no,2892.0,4.8,no
60,1799.7,49090.29,24,no,21,no,2260.4,5.6,no
50,3658.89,10549.25,26,yes,10,no,4592.1,6.7,yes
47,1462.91,43819.51,27,yes,6,no,2968.9,6.7,yes
46,488.48,31117.76,42,yes,9,no,3884.2,9.0,yes
74,4774.37,15780.26,19,no,6,no,500.1,5.2,no
57,7695.15,33873.21,10,no,4,yes,2500.6287832408643,5.50938715643135,yes
28,2970.38,26149.23,35,no,2,no,61.5,2.4,no
62,6277.44,7793.53,45,no,2,no,1356.0,4.7,no
52,9689.16,5426.39,36,no,11,no,1304.8,1.9,no
68,13305.34,1766.72,27,no,0,no,4557.4,5.4,no
65,178.97,20684.05,18,no,1,no,33.2,9.0,no
50,2464.73,21508.95,11,no,15,no,3754.0,2.0,no
29,12841.52,9901.95,19,no,1,yes,504.0,5.8,yes
74,7743.18,15588.64,15,no,11,no,44.6,7.0,no
45,7456.56,8546.43,32,no,8,no,1739.0,2.5,no
59,10581.94,2990.48,36,no,4,no,608.7,6.5,no
43,11597.38,41208.59,26,no,16,no,4857.1,4.8,yes
24,12327.77,3806.03,47,no,21,no,4345.1,4.6,yes
71,6359.63,9516.01,30,no,2,no,3381.2,1.7,no
23,990.07,24941.64,19,no,22,no,1118.0,8.7,yes
18,3831.01,31965.71,36,no,18,no,2739.4,7.9,yes
70,8029.56,8632.54,2,no,13,no,1470.5,5.2,no
52,9005.17,38786.79,11,no,4,no,3619.6,7.9,yes
37,5951.09,42583.19,39,no,23,no,1729.5,5.6,no
39,8604.95,19647.53,35,no,7,no,2658.1,1.8,no
21,5758.31,19859.26,47,no,6,no,4625.8,3.3,yes
44,9720.58,17740.56,33,no,21,no,4069.8,1.6,no
40,5307.32,17325.78,27,no,19,no,3827.0,7.2,no
21,3621.9,18260.56,41,no,20,no,1530.2,2.9,no
49,697.06,39343.16,13,no,0,no,820.9,6.3,no
44,11721.21,17132.44,13,yes,22,no,4821.4,7.1,yes
56,11363.48,9413.92,43,yes,17,no,277.2,1.6,yes
60,13478.94,49004.66,11,no,11,no,4867.6,9.3,yes
27,10320.74,26668.67,30,no,0,yes,1194.2,7.3,yes
46,5532.94,32503.83,30,no,12,no,450.2,9.5,no
20,4645.88,38538.91,39,yes,1,no,2513.8,3.3,yes
54,7607.69,38257.83,19,no,18,no,2273.0,6.5,no
51,5710.45,14170.9,13,no,0,no,3948.8,6.9,yes
32,2555.28,4554.95,11,no,22,no,3745.9,5.50938715643135,yes
62,707.9,2872.22,21,yes,4,no,1296.7,1.4,no
46,3938.54,2015.61,3,no,18,no,3350.3,7.0,no
49,13478.96,26441.74,33,no,22,no,4020.8,9.7,yes
24,3178.26,25056.065000000002,16,no,17,no,34.0,2.7,no
51,10533.16,16223.13,7,no,16,no,4834.9,4.2,no
30,2435.65,6225.51,45,no,0,no,4010.1,3.1,yes
46,7966.87,15219.09,10,no,19,no,3681.1,9.4,no
26,10483.21,36041.35,12,no,4,no,4493.2,2.9,yes
73,7468.145,24965.65,24,no,16,no,783.4,5.6,no
49,8870.38,25056.065000000002,15,no,23,no,1064.4,1.2,no
65,1616.42,48508.32,8,no,2,no,1881.3,4.2,no
56,3333.24,2583.76,16,yes,14,yes,1817.8,2.8,yes
27,9779.19,19252.33,49,no,22,yes,4587.3,9.4,yes
58,6564.72,11207.02,9,no,3,no,1746.1,2.0,no
64,6035.43,21612.82,26,yes,1,no,4153.7,3.7,yes
58,8064.59,17241.3,11,no,13,no,580.7,7.1,no
20,4294.82,40403.88,8,no,19,no,840.2,10.0,no
18,6597.92,24201.45,26,no,13,no,3090.0,6.6,yes
27,6180.19,48349.71,14,yes,11,no,3748.1,7.6,yes
65,394.12,303.38,34,yes,21,no,1353.2,8.0,no
47,7794.36,21255.58,42,no,19,no,429.9,9.9,no
60,13984.33,19931.05,3,no,17,no,2691.3,9.2,no
25,6896.62,8494.45,36,yes,19,no,11.8,5.3,no
29,4993.48,41211.46,21,no,6,no,1678.2,2.2,no
18,3378.33,24692.38,45,no,4,no,3841.6,8.5,no
52,14325.94,5086.3,5,no,7,no,4915.2,9.3,yes
40,11081.87,45709.75,49,no,22,no,1896.7,7.3,yes
32,8446.82,13307.97,4,no,15,no,1272.5,9.8,no
30,1862.72,251.27,28,no,20,yes,404.8,1.7,yes
28,3465.06,46643.38,28,no,14,no,2665.4,4.3,yes
45,2708.05,15697.02,47,yes,1,yes,1280.7,5.5,yes
35,1920.14,13883.02,26,no,17,yes,1748.1,7.0,yes
34,299.2,39789.09,44,no,7,no,510.3,6.3,no
61,13642.62,33475.84,48,yes,18,no,3312.2,9.5,yes
36,4459.27,40733.59,24,no,15,yes,4801.6,5.4,yes
28,6113.91,13436.49,47,no,15,no,3732.7,1.4,no
38,3136.99,39256.77,19,no,1,no,2.6,1.2,no
34,11878.02,25634.33,32,no,13,no,3944.6,3.2,yes
42,2663.29,24926.43,27,no,22,no,1217.6,1.7,no
27,2798.33,22079.8,23,no,1,no,768.2,9.3,no
46,13584.21,49069.62,26,no,1,no,4709.0,6.1,yes
48,628.93,25056.065000000002,8,no,0,no,136.7,3.3,no
19,7468.145,20294.08,26,no,11,no,4402.6,9.4,yes
60,4795.57,36122.95,48,yes,1,no,2978.3,7.1,yes
21,9674.71,24863.14,26,yes,19,no,1010.9,7.4,yes
53,7396.75,30340.28,13,no,1,no,3731.7,4.9,yes
69,4835.52,38298.86,16,yes,9,no,2039.4,3.1,no
71,4946.65,10488.99,3,no,19,no,2864.6,9.3,yes
28,7752.98,28125.15,20,no,19,no,3414.3,1.8,no
28,2082.16,37945.94,29,no,18,no,363.9,4.3,no
36,8887.34,270.28,38,no,0,no,1954.6,4.3,yes
59,3945.4,46704.29,15,yes,20,no,1929.6,3.4,yes
19,11661.93,29427.18,6,no,18,no,4695.5,6.0,yes
43,7956.29,9693.72,40,no,5,no,2276.1,2.9,yes
32,8814.17,42496.02,42,no,1,no,3135.4,8.5,no
57,6306.11,18206.1,10,no,19,no,1384.7,8.5,no
69,6738.74,24815.86,42,no,20,no,2356.6,6.6,yes
59,7771.69,835.71,8,no,0,no,4356.9,1.3,no
46,2080.54,34760.41,47,no,3,no,4058.9,6.1,yes
25,5248.29,12823.8,29,no,6,no,4458.2,6.4,yes
68,1927.31,1465.37,1,no,5,no,2652.9,2.0,no
34,4867.01,48674.09,46,no,23,no,3187.4,4.5,yes
28,7840.44,20094.49,37,no,2,no,4057.3,8.9,no
68,10619.99,11957.76,16,no,7,no,2500.6287832408643,8.9,yes
46,11770.67,31703.59,42,no,19,no,1264.3,3.2,no
42,10884.0,38804.71,48,no,11,no,4813.6,5.5,yes
67,4436.41,41802.55,40,no,11,no,2500.6287832408643,8.8,no
25,12247.68,37018.95,42,no,21,no,2500.6287832408643,8.9,yes
43,1178.85,22429.65,40,no,10,no,181.2,2.3,no
44,6598.37,40453.26,22,no,8,no,2015.4,3.1,no
46,12325.63,18348.79,29,no,20,no,3865.0,5.7,yes
29,11829.46,398.16,46,yes,21,no,3543.3,5.50938715643135,yes
42,14108.64,12064.44,46,no,3,no,150.8,3.2,no
51,7274.6,34968.33,10,no,11,no,4822.4,5.50938715643135,no
65,1171.38,25700.76,12,no,14,no,4999.1,8.4,yes
36,14364.36,30766.35,44,no,17,no,7.9,4.6,no
69,4359.55,28001.26,2,no,8,yes,1033.9,5.50938715643135,yes
66,6555.67,17839.11,29,no,15,no,3430.4,2.6,yes
53,8840.38,25162.08,32,yes,13,no,1387.9,2.1,no
67,4244.04,3178.06,20,no,18,no,3486.6,8.2,no
40,196.63,40186.71,30,no,19,no,3819.1,2.8,yes
24,9592.09,34153.06,27,no,21,no,134.7,1.1,no
58,3818.86,7950.88,43,no,20,no,4419.1,5.50938715643135,yes
21,5897.13,25708.47,18,no,17,no,4507.2,7.1,no
57,13863.08,2717.29,4,yes,0,no,1735.1,4.1,no
23,9015.56,36598.49,3,no,5,no,1891.3,10.0,yes
63,10082.32,10480.69,5,no,18,no,3075.4,1.5,no
25,11760.8,13454.82,45,no,11,no,815.3,2.4,no
40,10146.01,18677.51,23,yes,7,no,3998.0,4.4,yes
23,13440.56,7158.43,44,yes,13,no,929.6,6.2,yes
51,9307.97,23467.81,27,no,17,no,2444.4,8.1,no
40,721.08,44680.97,15,no,5,no,821.6,7.6,no
33,4138.55,22977.1,41,no,18,no,2260.9,7.4,no
24,5845.68,11570.91,35,no,21,no,4408.0,8.6,yes
42,2559.89,48030.49,5,no,23,no,2991.9,8.5,no
72,983.78,44683.96,11,no,18,no,2442.9,5.5,no
52,8291.75,2406.4,4,yes,19,no,349.2,4.9,no
52,3052.91,27386.47,35,no,8,no,4388.7,4.5,no
69,12245.61,16406.21,28,no,18,no,3743.2,3.9,yes
61,12173.0,13731.81,15,no,19,no,146.9,6.3,no
58,10218.66,5188.41,13,yes,10,no,3932.0,4.3,yes
35,3544.58,7193.03,15,no,0,no,2452.9,5.50938715643135,no
47,8552.76,25056.065000000002,25,no,9,no,672.7,3.1,no
58,13527.07,28033.46,12,no,11,no,2286.8,3.8,no
35,7233.65,7872.02,16,no,17,no,1306.8,5.50938715643135,no
69,7468.145,45960.01,14,no,12,no,3326.4,8.5,yes
66,8655.55,26231.57,49,no,1,yes,1626.4,1.8,yes
71,8294.9,25056.065000000002,13,no,7,no,3264.7,6.4,no
19,490.51,32584.88,12,yes,21,no,2134.2,7.3,yes
56,6107.47,754.31,45,no,10,no,2528.3,5.50938715643135,no
54,7475.76,19676.92,44,no,6,no,3405.3,5.2,no
54,5473.38,43282.79,43,no,19,no,2586.7,1.9,no
62,10704.73,21567.71,8,no,1,no,2951.6,7.2,no
64,4882.16,10100.05,46,no,3,no,2739.1,9.9,yes
43,473.99,24521.32,27,yes,2,no,1948.4,4.2,yes
40,7254.85,6781.19,41,no,0,no,3860.8,3.4,no
46,8042.1,14229.73,18,no,8,no,176.4,5.50938715643135,no
39,4880.82,37135.42,46,no,12,no,509.8,6.8,no
29,2983.84,2105.94,38,no,19,no,2470.2,9.3,yes
56,3831.41,30714.39,47,no,22,no,2915.6,7.0,no
73,12698.02,13449.79,18,no,23,no,786.8,1.1,no
74,13465.88,40315.04,36,no,16,no,4789.0,7.7,yes
42,13358.02,39712.41,35,no,23,no,4158.2,7.1,yes
36,750.08,47104.47,40,yes,10,no,3287.3,1.0,no
56,7574.2,37937.96,25,no,11,no,1601.5,4.8,no
20,4482.03,34168.43,18,no,16,no,588.4,2.8,no
56,4676.58,15103.81,43,no,11,no,3346.5,5.5,yes
74,13255.61,7303.43,25,no,14,no,4723.7,2.5,yes
32,16.63,23066.55,10,no,3,no,1309.0,5.6,yes
23,11657.13,10037.63,3,no,14,no,4052.2,4.3,no
37,11689.14,16470.04,5,no,17,no,4196.5,6.7,yes
22,10671.21,9044.97,19,no,6,no,2189.2,8.9,no
30,12448.26,38280.7,4,no,2,no,235.6,8.1,no
22,5263.32,28754.8,41,no,4,no,3511.0,3.4,no
23,764.98,18127.35,26,no,5,no,3349.6,6.4,no
56,7310.45,7330.62,26,no,14,no,4538.0,2.8,no
68,14191.91,11233.22,14,no,18,no,1347.6,7.4,no
65,674.21,22236.73,32,no,3,no,239.3,8.7,no
21,8038.22,3719.89,44,yes,20,no,1343.8,3.9,yes
20,2742.04,25674.4,1,no,3,no,2563.6,9.0,no
73,9814.68,24203.99,3,no,7,yes,3557.4,3.2,yes
29,5947.53,28503.61,2,no,6,no,1398.7,9.6,yes
64,7936.86,25082.69,20,no,20,no,3413.7,4.9,yes
44,14765.99,18036.51,5,yes,9,no,4897.0,7.0,yes
20,5745.55,2649.11,28,no,16,no,4643.2,7.5,yes
23,8821.37,36277.8,5,no,22,no,416.2,1.1,no
47,14633.87,40474.86,31,no,14,no,3292.0,6.1,yes
25,8307.63,31167.88,18,no,20,yes,3588.2,7.0,yes
59,1392.13,1105.2,28,no,11,no,2538.7,1.9,no
25,1696.95,40375.71,8,no,16,yes,2472.6,8.5,yes
18,11594.03,34332.3,34,no,2,no,736.1,1.8,no
27,14723.86,9418.18,8,yes,7,no,1956.7,6.6,yes
66,5789.19,26853.02,41,no,10,no,852.9,1.3,no
24,6484.24,6169.4,3,no,20,no,2269.1,4.2,yes
63,5508.47,27011.42,42,no,20,no,2500.6287832408643,6.6,yes
18,11163.78,21713.66,9,no,14,no,3928.0,1.9,yes
47,14466.12,45647.06,1,yes,8,no,4046.9,6.3,yes
62,5108.64,21489.18,39,yes,15,no,3609.3,6.6,yes
39,7468.145,2127.22,1,no,12,yes,567.9,6.7,yes
73,13654.0,42856.17,44,no,0,yes,1525.5,4.4,yes
68,172.92,48895.23,1,no,19,no,4488.8,8.1,no
41,7687.54,43832.29,27,no,20,no,4308.0,9.8,yes
71,8638.39,32762.85,23,no,6,no,2162.4,9.1,no
61,2760.18,28605.23,12,no,11,yes,1451.8,3.7,yes
33,13270.19,426.07,36,no,3,yes,3118.0,2.1,yes
32,289.96,21677.12,45,no,6,no,648.5,6.2,no
65,10743.14,32897.58,10,no,0,no,4638.9,6.5,no
49,4856.19,102.68,44,no,3,no,3479.2,6.8,no
72,2105.1,40204.13,29,yes,4,no,4250.2,5.8,yes
30,13474.54,11494.65,26,yes,23,no,693.1,2.1,yes
53,6136.97,36690.59,35,no,9,no,1737.9,6.5,no
30,6581.07,32554.49,6,no,6,no,1898.7,5.7,no
34,12178.23,44057.04,17,yes,17,no,3249.1,1.2,yes
70,13557.42,38657.13,26,no,3,no,1334.1,6.0,no
50,8132.53,12574.68,41,yes,9,no,2916.3,5.9,yes
22,5623.36,15709.42,25,no,6,no,97.4,2.7,no
25,73.69,25056.065000000002,23,no,6,no,4137.6,1.3,no
19,3959.24,17900.16,20,no,14,no,4581.0,4.3,yes
70,5918.31,35037.99,35,no,6,no,2136.5,6.1,yes
61,1235.63,32527.29,5,yes,6,yes,1722.4,7.2,yes
70,14811.96,25056.065000000002,21,yes,11,yes,1241.8,4.6,yes
72,11956.75,21947.71,16,no,16,no,4369.9,4.4,yes
69,5530.29,47296.49,5,yes,9,yes,2400.0,3.5,yes
24,14965.99,25056.065000000002,23,no,19,no,1977.0,2.4,no
47,2468.57,43372.01,40,yes,20,no,4885.3,7.7,yes
51,688.27,41809.18,15,no,20,no,28.9,7.4,no
61,3005.07,23390.77,45,no,14,no,248.6,6.8,no
62,1786.04,28932.01,1,no,18,no,4694.8,8.1,yes
51,2597.51,27094.08,29,no,16,no,3479.8,3.7,yes
43,8935.91,17132.4,1,no,2,yes,1813.5,3.2,yes
71,442.64,44815.76,44,yes,13,no,4353.3,6.2,yes
69,11922.65,10195.86,19,no,17,no,4899.4,8.3,yes
69,7422.0,48945.15,38,no,3,no,1189.4,9.0,yes
55,7173.69,13258.19,46,no,23,no,4743.9,9.4,yes
71,12730.24,20248.15,43,no,3,no,1664.8,3.0,no
55,3051.4,27136.59,35,no,14,no,2336.4,2.7,no
55,9817.41,2606.57,9,yes,14,no,2352.7,5.8,no
51,7478.23,31856.61,41,no,5,no,1092.4,4.8,no
51,8529.45,19759.06,23,no,20,no,2121.4,3.9,yes
34,7566.02,21884.45,25,no,7,no,1112.1,2.4,no
44,4666.02,7340.64,36,no,2,no,81.9,2.8,no
66,14669.64,40957.81,37,no,17,no,4299.9,6.9,yes
31,6584.41,3547.2,33,no,21,no,2633.3,8.8,yes
51,7203.73,8970.61,24,yes,14,no,4722.7,2.7,yes
35,12906.22,12423.08,28,no,17,no,4079.3,8.2,yes
43,14661.34,49043.56,8,yes,21,no,2054.2,6.9,yes
19,13305.19,19591.21,8,yes,2,no,1108.6,2.6,no
52,1251.45,31611.27,21,no,22,no,1584.4,8.3,yes
32,14755.25,10602.21,8,yes,5,no,2351.2,9.0,yes
23,3160.77,9099.45,3,no,21,no,4820.4,4.1,no
35,14561.69,9627.19,47,no,19,no,2177.1,1.3,no
68,5478.29,16136.95,4,no,19,no,3302.1,5.1,no
20,1480.93,18351.67,45,no,11,no,2451.0,7.3,no
29,1059.04,12845.33,13,no,17,no,4029.4,5.9,no
27,975.72,34655.58,25,yes,8,no,4483.2,6.0,yes
67,9473.32,40897.1,12,no,21,no,4252.9,6.4,yes
26,7452.53,37237.87,8,no,20,no,3108.0,9.0,no
65,12203.04,4160.52,17,no,1,no,2089.1,4.4,yes
50,10750.97,48589.6,45,no,9,no,850.9,9.0,yes
